LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-7820,LI-7820,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,CHAMBER,CHAMBER
20250414,010702,104.047,2,1,1,39.6685,-75.7462,3.79,101.251,342.586,6.5134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0186756,0.00198348,56.2271,0.0309715,0,0.00111506,1.98416e-09,1e+06,342.586,524.677,4,101,0.322,8.5
20250414,011314,104.051,3,1,1,39.6685,-75.7463,3.97,101.251,344.738,6.68152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0183594,0.00187333,55.8749,0.0107381,0,0.00104653,0.00636969,345.032,344.738,-4.74498,3,101,0.336,8.8
20250414,011925,104.055,4,1,1,39.6685,-75.7463,3.7,101.243,348.764,6.61843,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.10195,0.010606,12.1186,0.086114,0,0.0012804,0.0104305,349.781,348.764,-34.296,4,101,0.285,8.6
20250414,012536,104.059,5,1,1,39.6685,-75.7463,3.31,101.242,347.353,6.74284,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00734552,-0.000749559,177.494,0.00318918,0,0.0013304,2.15792e-06,0,347.353,-1037.67,9,101,0.367,9.8
20250414,013148,104.064,6,1,1,39.6685,-75.7463,3.21,101.254,345.592,6.73513,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.010341,0.00107393,145.854,0.00139023,0,0.00156632,0.0177967,345.652,345.592,4.73073,4,101,0.356,9.3
20250414,013759,104.068,7,1,1,39.6685,-75.7463,3.62,101.244,348.277,6.88578,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0305364,-0.00317669,50.4464,0.0381934,0,0.00160217,9.12116e-06,0,348.277,107.221,3,101,0.344,9.4
20250414,014410,104.072,8,1,1,39.6685,-75.7463,3.3,101.25,346.571,6.83498,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00784246,-0.000793177,154.88,0.00957518,0,0.00122845,1.13537e-05,276.71,346.571,-7.73994,3,101,0.242,8.9
20250414,020051,104.084,1,1,1,39.6685,-75.7463,3.75,101.246,343.299,6.77067,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00435939,0.000465246,257.483,0.00152129,0,0.00119792,4.65406e-10,1e+06,343.299,-505.236,5,101,0.28,7.9
20250414,020702,104.088,2,1,1,39.6685,-75.7463,3.38,101.245,343.862,6.69911,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0583406,0.00618886,20.958,0.0809163,0,0.00129541,0.00685591,344.765,343.862,-1.93526,2,101,0.322,8.2
20250414,021314,104.093,3,1,1,39.6685,-75.7463,3.68,101.225,344.352,6.69745,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0301623,0.00307514,40.839,0.0321636,0,0.00125543,0.00413984,345.095,344.352,-33.2948,3,101,0.336,8.5
20250414,021925,104.097,4,1,1,39.6685,-75.7463,3.19,101.199,344.708,6.58874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0298081,0.00309666,41.4696,0.053376,0,0.00128375,0.000125464,369.39,344.708,-38.3722,5,101,0.285,8.3
20250414,022536,104.101,5,1,1,39.6685,-75.7463,3.12,101.193,344.321,6.76549,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00207391,-0.000211591,556.017,0.000326634,0,0.00117648,6.14517e-07,0,344.321,321.031,2,101,0.367,9.6
20250414,023147,104.105,6,1,1,39.6685,-75.7463,2.68,101.196,344.674,6.6144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0113734,0.00117943,99.9832,0.0100044,0,0.00117917,1.17984e-09,1e+06,344.674,135.826,2,101,0.354791,9.0791
20250414,023758,104.11,7,1,1,39.6685,-75.7463,3.09,101.189,346.276,6.70015,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.000115995,-1.20481e-05,8828.87,1.29448e-06,0,0.00106371,3.47934e-08,0,346.276,767.027,3,101,0.344,9.1
20250414,024409,104.114,8,1,1,39.6685,-75.7462,2.64,101.188,345.043,6.52595,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00738197,-0.000745034,140.9,0.00506238,0,0.00104972,2.15925e-06,0,345.043,100.351,3,101,0.242701,8.6
20250414,030051,104.126,1,1,1,39.6685,-75.7462,2.46,101.182,344.454,6.16593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0100088,0.00106316,104.665,0.00913734,0,0.0011127,1.06352e-09,1e+06,344.454,-438.594,10,101,0.28,7.67512
20250414,030702,104.13,2,1,1,39.6685,-75.7462,2.39,101.202,345.571,6.00772,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0252046,0.00266335,43.4486,0.00152021,0,0.00115685,0.00463049,346.146,345.571,-50,4,101,0.322,8
20250414,031314,104.134,3,1,1,39.6685,-75.7462,2.72,101.199,344.498,6.12584,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0245636,0.0024948,61.0558,0.0263893,0,0.00152299,2.49566e-09,1e+06,344.498,118.914,3,101,0.335701,8.2
20250414,031925,104.138,4,1,1,39.6685,-75.7462,2.79,101.203,343.168,6.15599,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0190754,0.00197781,69.8203,0.0263199,0,0.00138076,7.56811e-05,369.301,343.168,28.2999,7,101,0.285,8
20250414,032536,104.143,5,1,1,39.6686,-75.7462,2.31,101.203,343.098,6.24095,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0249506,0.00253664,58.5241,0.0286557,0,0.0014843,2.53751e-09,1e+06,343.098,135.263,4,101,0.367,9.35473
20250414,033147,104.147,6,1,1,39.6686,-75.7462,2.02,101.198,343.447,6.1291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0237963,-0.00246065,48.7372,0.0408105,0,0.00119897,7.16457e-06,0,343.447,-137.643,8,101,0.354597,8.8
20250414,033758,104.151,7,1,1,39.6685,-75.7462,2.82,101.197,343.075,6.37034,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0190223,0.00197302,60.1462,0.0271718,0,0.00118651,1.9737e-09,1e+06,343.075,114.722,4,101,0.344,8.81493
20250414,034409,104.156,8,1,1,39.6685,-75.7462,2.72,101.206,341.675,6.47804,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0179188,0.00180869,70.9763,0.0196612,0,0.0012836,1.80931e-09,1e+06,341.675,187.33,2,101,0.243,8.2
20250414,040051,104.167,1,1,1,39.6686,-75.7462,2.74,101.193,341.415,6.58157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0388662,0.00413407,29.4099,0.0335375,0,0.00121504,0.00655461,342.046,341.415,-6.81714,2,101,0.28,7.4
20250414,040702,104.172,2,1,1,39.6685,-75.7462,2.76,101.201,342.727,6.52032,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00466119,0.000493454,210.202,0.00228092,0,0.00103724,4.93623e-10,1e+06,342.727,-311.091,3,101,0.322,7.7
20250414,041314,104.176,3,1,1,39.6685,-75.7462,2.87,101.17,345.245,6.44439,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0421538,0.00428638,22.1247,0.106269,0,0.000947263,0.0027762,346.789,345.245,-34.0544,3,101,0.335,8
20250414,041925,104.18,4,1,1,39.6685,-75.7462,2.93,101.163,344.158,6.47927,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0165897,0.00172215,60.3829,0.0269649,0,0.00103972,1.72274e-09,1e+06,344.158,-195.164,6,101,0.285,7.78905
20250414,042536,104.184,5,1,1,39.6685,-75.7462,3.26,101.157,343.176,6.88361,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.086758,0.00886053,11.2576,0.0516993,0,0.000993073,0.0283301,343.489,343.176,17.2026,4,101,0.367,9.2
20250414,043147,104.189,6,1,1,39.6685,-75.7462,3.16,101.158,342.825,6.97711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00349229,0.000363045,269.371,0.00139016,0,0.000977931,3.6317e-10,1e+06,342.825,-601.986,5,101,0.351119,8.6
20250414,043758,104.193,7,1,1,39.6685,-75.7462,3.65,101.148,344.407,7.23743,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00903254,0.000940928,108.224,0.00855125,0,0.00101826,9.41252e-10,1e+06,344.407,99.9906,4,101,0.344,8.67463
20250414,044410,104.197,8,1,1,39.6685,-75.7462,3.62,101.164,343.47,7.29452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0256575,-0.00260133,40.1319,0.0314347,0,0.0010436,2.63252e-05,244.655,343.47,50,5,101,0.243,8
20250414,050051,104.209,1,1,1,39.6685,-75.7462,3.74,101.154,344.147,7.29294,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0432712,0.0046245,22.4066,0.032475,0,0.00103504,0.0119909,344.533,344.147,-1.20531,2,101,0.28,7.4
20250414,050702,104.213,2,1,1,39.6685,-75.7462,3.65,101.151,341.279,7.33157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0125681,0.0013366,79.007,0.0159272,0,0.00105591,1.33705e-09,1e+06,341.279,-128.563,4,101,0.321,7.6
20250414,051314,104.218,3,1,1,39.6685,-75.7462,3.61,101.15,341.584,7.20246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.026492,0.00270376,46.2662,0.0157367,0,0.0012506,0.00244106,342.692,341.584,-50,4,101,0.334702,7.83333
20250414,051925,104.222,4,1,1,39.6685,-75.7462,3.58,101.162,341.686,7.12169,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.153993,0.0160342,9.14325,0.111317,0,0.00145621,0.0136779,342.858,341.686,-14.0596,3,101,0.285,7.7
20250414,052536,104.226,5,1,1,39.6685,-75.7462,3.7,101.16,341.687,7.35276,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0106142,-0.00108616,136.077,0.00542473,0,0.00147798,3.17883e-06,0,341.687,566.968,5,101,0.367,9
20250414,053147,104.23,6,1,1,39.6685,-75.7462,3.43,101.166,343.875,7.28961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0181798,-0.00189218,64.5936,0.0236441,0,0.00122206,5.50252e-06,0,343.875,190.065,5,101,0.348,8.6
20250414,053759,104.235,7,1,1,39.6685,-75.7462,3.97,101.175,342.583,7.46033,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00746517,-0.000778564,140.965,0.00505576,0,0.00109747,2.27263e-06,0,342.583,-598.053,10,101,0.344,8.5
20250414,054410,104.239,8,1,1,39.6685,-75.7462,3.92,101.169,342.85,7.48908,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00116895,-0.000118659,841.515,0.000142297,0,0.000998533,3.46097e-07,0,342.85,-2771.34,2,101,0.243,7.9
20250414,060051,104.251,1,1,1,39.6685,-75.7462,4.15,101.19,342.608,7.70703,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0698641,0.00747781,15.3187,0.07923,0,0.00114278,0.00722531,343.643,342.608,-29.3785,3,101,0.279846,7.4
20250414,060702,104.255,2,1,1,39.6685,-75.7462,4.3,101.21,342.578,7.93187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0212909,0.0022696,37.4498,0.0113014,0,0.000849623,0.000163996,356.417,342.578,-47.4372,5,101,0.321,7.5
20250414,061314,104.259,3,1,1,39.6685,-75.7462,4.53,101.203,342.927,8.0426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0326937,0.00334868,33.1222,0.037044,0,0.00110859,0.00090449,346.63,342.927,-50,4,101,0.334298,7.8
20250414,061925,104.263,4,1,1,39.6685,-75.7462,4.75,101.197,342.979,8.20571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0703921,0.00736611,16.9643,0.209443,0,0.00124718,0.00144667,348.071,342.979,-26.2298,3,101,0.285,7.6
20250414,062536,104.268,5,1,1,39.6685,-75.7462,5.05,101.196,343.552,8.50087,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00264526,0.000272243,410.381,0.000599421,0,0.00111723,2.72336e-10,1e+06,343.552,162.605,2,101,0.366,9
20250414,063147,104.272,6,1,1,39.6685,-75.7462,5.16,101.204,343.709,8.52817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00162853,0.000170721,552.429,0.000330878,0,0.000943111,1.7078e-10,1e+06,343.709,-1569.98,6,101,0.349791,8.6
20250414,063758,104.276,7,1,1,39.6685,-75.7462,5.7,101.205,344.127,8.8112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0038445,0.000403891,241.847,0.00172402,0,0.000976791,4.0403e-10,1e+06,344.127,229.28,2,101,0.344,8.5
20250414,064409,104.281,8,1,1,39.6685,-75.7462,5.96,101.213,344.275,8.97943,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0107234,0.00109774,90.3673,0.0122197,0,0.000991927,1.09811e-09,1e+06,344.275,261.367,7,101,0.243,8
20250414,070051,104.292,1,1,1,39.6685,-75.7462,5.67,101.177,343.872,8.79178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.193068,0.0208028,5.90417,0.136219,0,0.00120842,0.0494355,344.293,343.872,25.8604,7,101,0.28,7.6
20250414,070702,104.297,2,1,1,39.6685,-75.7462,5.7,101.211,343.424,9.02372,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0198641,0.00213044,59.1946,0.0139957,0,0.0012609,0.00173093,344.655,343.424,11.0378,2,101,0.321,7.6602
20250414,071314,104.301,3,1,1,39.6685,-75.7462,5.77,101.216,343.323,9.09742,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00552704,0.000569183,216.67,0.00183462,0,0.00123323,0.000165373,346.765,343.323,-50,6,101,0.334,7.8
20250414,071925,104.305,4,1,1,39.6685,-75.7462,5.97,101.183,342.312,9.18274,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0323962,0.00340866,31.0833,0.0788376,0,0.00105891,0.00187651,344.129,342.312,20.3456,3,101,0.285,7.7
20250414,072536,104.309,5,1,1,39.6685,-75.7462,6.35,101.197,342.668,9.47257,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0181323,0.00187664,54.0477,0.0251767,0,0.00101409,0.00889816,342.878,342.668,45.7021,3,101,0.366846,8.9
20250414,073147,104.314,6,1,1,39.6685,-75.7462,6.35,101.188,342.779,9.67836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0161769,0.00170521,78.8052,0.0109115,0,0.00134367,0.000109437,358.36,342.779,19.4801,5,101,0.344,8.7
20250414,073758,104.318,7,1,1,39.6685,-75.7462,6.38,101.17,343.775,9.84761,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00683263,0.000720546,215.918,0.002162,0,0.00155577,7.20794e-10,1e+06,343.775,322.953,5,101,0.344,8.6
20250414,074409,104.322,8,1,1,39.6685,-75.7462,6.74,101.168,343.127,9.98793,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0158237,0.00162677,95.7109,0.0109077,0,0.0015569,1.62732e-09,1e+06,343.127,215.228,2,101,0.242403,8.18856
20250414,080051,104.334,1,1,1,39.6684,-75.7462,6.71,101.129,342.959,9.70933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0166416,0.00180248,80.218,0.0162572,0,0.00144579,8.61422e-05,363.884,342.959,-42.1521,4,101,0.28,7.8
20250414,080702,104.338,2,1,1,39.6685,-75.7462,6.68,101.139,342.833,9.88803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0287292,0.00309713,40.5285,0.00759382,0,0.00125479,0.00271922,343.972,342.833,-50,4,101,0.321,7.9
20250414,081314,104.343,3,1,1,39.6685,-75.7462,6.83,101.157,343.19,9.95323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00783494,0.000811131,167.652,0.00358101,0,0.00135985,8.11409e-10,1e+06,343.19,204.982,5,101,0.334,7.9
20250414,081925,104.347,4,1,1,39.6685,-75.7462,6.89,101.145,343.021,9.98842,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0575786,0.00608581,24.2124,0.112117,0,0.00147212,0.00217904,345.814,343.021,5.79889,3,101,0.285,7.9
20250414,082536,104.351,5,1,1,39.6685,-75.7462,7.11,101.13,342.926,10.2444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00516622,0.000536923,316.547,0.00100706,0,0.00169961,5.37107e-10,1e+06,342.926,-852.447,5,101,0.371756,9
20250414,083147,104.355,6,1,1,39.6685,-75.7462,7.26,101.13,343.228,10.4183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0314358,-0.00332876,47.6466,0.0415077,0,0.00158565,5.41298e-05,281.732,343.228,50,4,101,0.344,8.9
20250414,083758,104.36,7,1,1,39.6685,-75.7462,7.67,101.108,342.332,10.5943,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.017817,-0.00189023,83.6151,0.014244,0,0.00158039,5.52163e-06,0,342.332,239.519,5,101,0.344,8.72488
20250414,084409,104.364,8,1,1,39.6685,-75.7462,8.22,101.091,342.9,10.6574,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0342858,-0.00354868,40.3697,0.0205646,0,0.0014321,0.0123552,342.612,342.9,23.6106,5,101,0.242,8.4
20250414,090051,104.376,1,1,1,39.6685,-75.7462,8.65,101.082,341.827,10.4279,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0190813,0.00208351,73.1623,0.0152336,0,0.00152419,9.14793e-05,364.603,341.827,50,3,101,0.279,8.2
20250414,090702,104.38,2,1,1,39.6685,-75.7462,9.21,101.07,341.418,10.5176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00380476,-0.000414406,374.283,0.000720312,0,0.00155104,1.21378e-06,0,341.418,-44.9262,3,101,0.321,8.13035
20250414,091314,104.384,3,1,1,39.6686,-75.7462,10.06,101.077,341.971,10.7024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0225215,0.00236208,59.0273,0.0281826,0,0.00139405,2.36289e-09,1e+06,341.971,237.672,7,101,0.334,8.10697
20250414,091925,104.388,4,1,1,39.6686,-75.7462,11.45,101.046,342.067,10.7083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0478794,0.00515171,31.1192,0.0945519,0,0.00160225,5.15347e-09,1e+06,342.067,134.934,2,101,0.285,8.31095
20250414,092536,104.393,5,1,1,39.6686,-75.7462,11.64,101.028,341.639,11.1787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0239695,0.00253637,65.3742,0.023095,0,0.00165791,2.53723e-09,1e+06,341.639,98.9375,2,101,0.367,9.1
20250414,093147,104.397,6,1,1,39.6686,-75.7463,11.81,101.031,341.44,11.0689,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0678662,0.00731516,24.5963,6.27866e-05,0,0.0017976,0.0709859,341.543,341.44,-37.4611,3,101,0.342507,9.3
20250414,093758,104.401,7,1,1,39.6686,-75.7463,11.48,101.038,341.645,11.0192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00681956,0.000734097,233.313,0.00185222,0,0.00171272,7.34347e-10,1e+06,341.645,244.379,6,101,0.344,9.25473
